"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_6","left lever","no reaction",404,"C","both paws",6.00141487796115,1,"both",0
"squirrel_6","left lever","no reaction",405,"C","both paws",6.00388706710654,1,"both",0
"squirrel_6","left lever","no reaction",406,"C","left paw",6.00635315960173,1,"ipsi",0
"squirrel_6","left lever","no reaction",407,"C","left paw",6.00881318544259,1,"ipsi",0
"squirrel_6","left lever","no reaction",408,"C","both paws",6.01126717440416,1,"both",0
"squirrel_6","left lever","no reaction",409,"C","both paws",6.0137151560428,1,"both",0
"squirrel_6","left lever","no reaction",410,"C","both paws",6.01615715969835,1,"both",0
"squirrel_6","left lever","no reaction",411,"C","both paws",6.01859321449623,1,"both",0
"squirrel_6","left lever","no reaction",412,"C","both paws",6.02102334934953,1,"both",0
"squirrel_6","left lever","no reaction",413,"C","both paws",6.02344759296103,1,"both",0
"squirrel_6","left lever","no reaction",414,"C","both paws",6.02586597382531,1,"both",0
"squirrel_6","left lever","no reaction",415,"C","both paws",6.0282785202307,1,"both",0
"squirrel_6","left lever","no reaction",416,"C","both paws",6.03068526026126,1,"both",0
"squirrel_6","left lever","no reaction",417,"C","both paws",6.0330862217988,1,"both",0
"squirrel_6","left lever","no reaction",418,"C","both paws",6.03548143252476,1,"both",0
"squirrel_6","left lever","no reaction",419,"C","both paws",6.03787091992214,1,"both",0
"squirrel_6","left lever","no reaction",420,"C","both paws",6.04025471127741,1,"both",0
"squirrel_6","left lever","no reaction",421,"C","both paws",6.04263283368238,1,"both",0
"squirrel_6","left lever","no reaction",422,"C","both paws",6.04500531403601,1,"both",0
"squirrel_6","left lever","no reaction",423,"C","both paws",6.04737217904628,1,"both",0
"squirrel_6","left lever","no reaction",424,"C","both paws",6.04973345523196,1,"both",0
"squirrel_6","left lever","no reaction",425,"C","both paws",6.05208916892442,1,"both",0
"squirrel_6","left lever","no reaction",426,"C","left paw",6.05443934626937,1,"ipsi",0
"squirrel_6","left lever","no reaction",427,"C","both paws",6.05678401322862,1,"both",0
"squirrel_6","left lever","no reaction",428,"C","both paws",6.0591231955818,2,"both",0
"squirrel_6","left lever","no reaction",429,"C","left paw",6.06145691892802,1,"ipsi",0
"squirrel_6","left lever","no reaction",430,"C","both paws",6.06378520868761,1,"both",0
"squirrel_6","left lever","no reaction",431,"C","both paws",6.06610809010375,2,"both",0
